artifact_path,status,role,decision,notes
docs/run4_revised_spatial_thesis_and_scope.md,found,Run 4 thesis/scope memo,reuse,
outputs/run4_geospatial_upgrade_summary.md,found,Run 4 residual bridge upgrade summary,reuse,
figures/final_revised/run4_hero_spatial_argument_figure.png,found,Run 4 hero spatial argument figure,reuse,
figures/final_revised/run4_method_or_model_figure.png,found,Run 4 residual/distance method figure,reuse,
figures/final_revised/run4_primary_case_figure.png,found,Run 4 East/Southeast Asia focused case figure,reuse,
figures/final_revised/run4_geospatial_insight_figure.png,found,Run 4 residual bridge score figure,reuse,
figures/final_revised/run4_secondary_or_limitations_figure.png,found,Run 4 secondary/limitations figure,reuse,
figures/final_revised/run4_revised_figure_captions.md,found,Run 4 captions,reuse,
submission/revised/fisher_submission_report.md,found,Run 4 revised Fisher report,reuse,
submission/revised/storymap_script.md,found,Run 4 revised StoryMap script,reuse,
submission/revised/abstract_and_pitch.md,found,Run 4 abstract/pitch,reuse,
submission/revised/final_handoff_checklist.md,found,Run 4 final handoff checklist,reuse,
data/processed/run2v2_focus_case_results.csv,found,Run 2 v2 focused case results,reuse,
data/processed/run2v2_residual_culinary_corridors_filtered.csv,found,Run 2 v2 filtered residuals,reuse,
data/processed/run2v2_cuisine_residual_bridge_scores.csv,found,Run 2 v2 residual bridge scores,reuse,
data/processed/run2v2_boundary_permeability_results.csv,found,Run 2 v2 boundary/permeability results,reuse,
data/crosswalks/cuisine_geo_crosswalk.csv,found,Cuisine-to-geography crosswalk,reuse,
data/crosswalks/run2v2_cuisine_case_subset_crosswalk.csv,found,Case membership crosswalk,reuse,
outputs/run2v2_geospatial_analysis_summary.md,found,Run 2 v2 geospatial analysis summary,reuse,
data/run4_data_and_source_risk_review.md,found,Run 4 data/source risk review,reuse,
outputs/run4_claim_and_compliance_audit.md,found,Run 4 claim/compliance audit,reuse,
outputs/run4_fisher_scorecard_after.md,found,Run 4 final scorecard,reuse,
report/revised/culinary_corridors_winner_aligned_report.pdf,found,Run 4 winner-aligned PDF,reuse/reference,
report/revised/culinary_corridors_winner_aligned_report.tex,found,Run 4 winner-aligned LaTeX,reuse/reference,
