# Colonial-administration crosswalk for the Bridges Across Cuisines residual analysis.
#
# Three-tier ordinal coding scheme:
#   0 = no shared colonial administration during the modern era (~1500–present).
#   1 = brief or peripheral colonial connection: less than 50 years of direct
#       administrative rule, OR economic/cultural-sphere connection without
#       direct administration, OR concurrent membership in a broad imperial
#       sphere where the two cuisines were not directly co-administered.
#   2 = sustained, core colonial administration: more than 50 years of direct
#       administrative rule by one over the other, OR the two cuisines were
#       co-administered as part of the same colonial unit for >50 years.
#
# Codings reflect the modern cuisine-identity-formation period (roughly
# 1500–1950). Pre-modern empires (Roman, pre-1500 Chinese suzerainty over
# Vietnam, etc.) are not counted since the cuisine corpus reflects modern
# recipe traditions documented in the Yummly / anadat-r data.
#
# All 190 unordered pairs of the 20 cuisines are covered. Each row has a
# rationale that a reviewer can evaluate independently. Where the call is
# borderline (~50 years, peripheral territory, sphere-without-administration),
# the conservative lower code is used.
#
cuisine_a,cuisine_b,code,rationale
brazilian,british,0,No British administration of Brazil; no Portuguese administration of Britain.
brazilian,cajun_creole,0,No shared colonial administration; different Iberian/French/Spanish trajectories.
brazilian,chinese,0,No shared colonial administration.
brazilian,filipino,1,Both in the Iberian colonial sphere; same crown 1580-1640 (Iberian Union); not directly co-administered.
brazilian,french,0,Brief French footholds (France Antarctique 1555-1567, France Equinoxiale 1612-1615) too short and peripheral.
brazilian,greek,0,No shared colonial administration.
brazilian,indian,0,No shared colonial administration.
brazilian,irish,0,No shared colonial administration.
brazilian,italian,0,No shared colonial administration.
brazilian,jamaican,0,No shared colonial administration during cuisine-identity formation.
brazilian,japanese,0,No shared colonial administration.
brazilian,korean,0,No shared colonial administration.
brazilian,mexican,1,Both Iberian sphere; concurrent under same crown 1580-1640 but administered by different viceroyalties.
brazilian,moroccan,0,No shared colonial administration.
brazilian,russian,0,No shared colonial administration.
brazilian,southern_us,0,No shared colonial administration.
brazilian,spanish,1,Iberian sphere connection; concurrent under same crown 1580-1640 but Brazil was administered by Portugal.
brazilian,thai,0,No shared colonial administration.
brazilian,vietnamese,0,No shared colonial administration.
british,cajun_creole,0,No British administration of Louisiana (French then Spanish then American).
british,chinese,1,Hong Kong 1841-1997 was British (156 years) but a peripheral territory relative to mainland Chinese cuisine identity.
british,filipino,0,No British administration of the Philippines (brief 1762-1764 occupation of Manila excluded as too short).
british,french,0,Both European colonial powers; no administration of one by the other.
british,greek,1,Britain administered the Ionian Islands 1815-1864 (49 years); not mainland Greece.
british,indian,2,British Raj 1858-1947 (89 years) plus prior East India Company rule (a century). Sustained core administration.
british,irish,2,Ireland under English/British administration from the 1170s through 1922 (over 700 years); core sustained rule.
british,italian,0,No British administration of Italy.
british,jamaican,2,British rule of Jamaica 1655-1962 (307 years). Sustained core administration.
british,japanese,0,No British administration of Japan.
british,korean,0,No British administration of Korea.
british,mexican,0,No British administration of Mexico.
british,moroccan,0,No British administration of Morocco.
british,russian,0,No British administration of Russia.
british,southern_us,2,The 13 colonies were British 1607-1776 (~170 years for the core southern colonies). Sustained.
british,spanish,0,No British administration of Spain.
british,thai,0,Thailand never colonized.
british,vietnamese,0,No British administration of Vietnam.
cajun_creole,chinese,0,No shared colonial administration.
cajun_creole,filipino,1,Both had Spanish administrative periods (Louisiana 1762-1803; Philippines 1565-1898); not concurrent co-administration.
cajun_creole,french,2,Louisiana under French administration 1682-1762 (80 years); Cajun cuisine is named for the French Acadian diaspora settled there. Sustained core.
cajun_creole,greek,0,No shared colonial administration.
cajun_creole,indian,0,No shared colonial administration.
cajun_creole,irish,0,No shared colonial administration.
cajun_creole,italian,0,No shared colonial administration.
cajun_creole,jamaican,0,No shared colonial administration; different colonial powers.
cajun_creole,japanese,0,No shared colonial administration.
cajun_creole,korean,0,No shared colonial administration.
