id,path,exists,role,reuse_revise_exclude,blocker_note
final_pdf,report/final_complete/culinary_corridors_complete_final_report.pdf,found,PDF backup / full technical report,reuse,
existing_storymap_script,submission/revised/storymap_script.md,found,prior StoryMap script,"reuse as source, supersede with run6 copy-paste script",
committee_report,submission/final_committee/final_committee_report.md,found,committee report prose,reuse as source,
run5_storymap_insert,submission/final_committee/run5_storymap_insert.md,found,Run 5 text insert,reuse as source,
run4_captions,figures/final_revised/run4_revised_figure_captions.md,found,Run 4 figure captions,reuse,
run5_captions,figures/final_revised/run5_figure_captions.md,found,Run 5 figure captions,reuse,
claim_audit,submission/final_committee/final_committee_claim_audit.md,found,claim audit,reuse,
figure_1,figures/final_revised/run4_hero_spatial_argument_figure.png,found,Required hero/discovery figure,upload/use in StoryMap,
figure_2,figures/final_revised/run4_method_or_model_figure.png,found,Required method figure,upload/use in StoryMap,
figure_3,figures/final_revised/run4_primary_case_figure.png,found,Required primary inference figure,upload/use in StoryMap,
figure_4,figures/final_revised/run5_east_se_asia_topographic_corridor_map.png,found,Required supporting corridor-context figure,upload/use in StoryMap,
figure_5,figures/final_revised/run4_geospatial_insight_figure.png,found,Required spatial-necessity figure,upload/use in StoryMap,
figure_6,figures/final_revised/run4_secondary_or_limitations_figure.png,found,Required sensitivity/limitations figure,upload/use in StoryMap,
figure_7,figures/final_revised/run5_corridor_callout_or_inset.png,found,Optional visual zoom/callout,upload/use in StoryMap,
