cuisine,mapped_place,iso3,latitude,longitude,mapping_confidence,caveat_notes,un_region_name,un_subregion_name,m49_country_code
brazilian,Brazil,BRA,-14.235,-51.9253,high,Cuisine label mapped to Brazil; platform recipes may represent Brazilian cuisine from an American recipe-site perspective.,Americas,South America,076
british,United Kingdom,GBR,55.3781,-3.436,medium,British cuisine is mapped to UK country centroid; label may include English/Scottish/Welsh/Northern Irish ambiguity.,Europe,Northern Europe,826
cajun_creole,"Louisiana, United States",USA,30.9843,-91.9623,medium-low,Regional/diasporic label; mapped to Louisiana centroid as proxy rather than a nation-state.,Americas,Northern America,840
chinese,China,CHN,35.8617,104.1954,medium,Large country/civilizational cuisine; centroid masks regional diversity.,Asia,Eastern Asia,156
filipino,Philippines,PHL,12.8797,121.774,high,Cuisine label mapped to Philippines country centroid.,Asia,South-eastern Asia,608
french,France,FRA,46.2276,2.2137,high,Cuisine label mapped to France country centroid.,Europe,Western Europe,250
greek,Greece,GRC,39.0742,21.8243,high,Cuisine label mapped to Greece country centroid.,Europe,Southern Europe,300
indian,India,IND,20.5937,78.9629,medium,Large country/civilizational cuisine; centroid masks regional diversity.,Asia,Southern Asia,356
irish,Ireland,IRL,53.1424,-7.6921,high,Cuisine label mapped to Ireland country centroid.,Europe,Northern Europe,372
italian,Italy,ITA,41.8719,12.5674,high,Cuisine label mapped to Italy country centroid.,Europe,Southern Europe,380
jamaican,Jamaica,JAM,18.1096,-77.2975,high,Cuisine label mapped to Jamaica country centroid.,Americas,Caribbean,388
japanese,Japan,JPN,36.2048,138.2529,high,Cuisine label mapped to Japan country centroid.,Asia,Eastern Asia,392
korean,Republic of Korea,KOR,35.9078,127.7669,high,Cuisine label mapped to South Korea/Republic of Korea centroid due recipe label convention.,Asia,Eastern Asia,410
mexican,Mexico,MEX,23.6345,-102.5528,high,Cuisine label mapped to Mexico country centroid.,Americas,Central America,484
moroccan,Morocco,MAR,31.7917,-7.0926,high,Cuisine label mapped to Morocco country centroid.,Africa,Northern Africa,504
russian,Russian Federation,RUS,61.524,105.3188,medium-low,Very large country; centroid likely poor for cuisine because recipes may emphasize western Russia/European foodways.,Europe,Eastern Europe,643
southern_us,Southern United States,USA,33.0,-86.0,medium-low,"Regional/diasporic label; mapped to approximate U.S. South centroid, not a nation-state.",Americas,Northern America,840
spanish,Spain,ESP,40.4637,-3.7492,high,Cuisine label mapped to Spain country centroid.,Europe,Southern Europe,724
thai,Thailand,THA,15.87,100.9925,high,Cuisine label mapped to Thailand country centroid.,Asia,South-eastern Asia,764
vietnamese,Viet Nam,VNM,14.0583,108.2772,high,Cuisine label mapped to Vietnam country centroid.,Asia,South-eastern Asia,704
