category,dataset_name,provider,url,license_or_terms,spatial_granularity,temporal_coverage,file_or_api_format,access_difficulty,reliability_grade,fisher_relevance_score,classification,risk_notes
Recipe/ingredient,RecipeDB,CosyLab IIIT Delhi / Oxford Database,https://cosylab.iiitd.edu.in/recipedb/,Open web interface; bulk data/license needs confirmation,Geo-cultural regions; 74 countries in article,Static database described 2020,Web/database; paper; possible exports,Medium,B,5,Core conditional,Strong candidate main recipe source; access/licensing must be verified before core use.
Recipe/ingredient,RecipeDB paper/supplement,Oxford Academic Database journal,https://academic.oup.com/database/article/doi/10.1093/database/baaa077/6006228,Open-access article; data availability to verify,26 geo-cultural regions; 6 continents,Published 2020,Article/supplement metadata,Easy,A-,5,Core conditional,"Documents 118,171 recipes, 23,548 ingredients, nutrition/flavor links."
Recipe/ingredient,TheMealDB API,TheMealDB,https://www.themealdb.com/,Free API; crowd-sourced; premium tier for some features,Meal area labels; recipe level,Active web API,JSON API,Easy,C+,3,Secondary,"Useful for smoke test and accessible examples, not enough as core global dataset."
Recipe/ingredient,RecipeNLG,Poznań University of Technology / Kaggle / Hugging Face mirrors,https://recipenlg.cs.put.poznan.pl/,License/permission restrictions; often noncommercial/terms-bound,Recipe-level; cuisine labels not always clean,Static corpus,CSV/JSON via Kaggle/HF,Medium,B-,3,Experimental/high-risk,Large corpus but license and geography/cuisine labeling risks.
Recipe/ingredient,Kaggle What’s Cooking / Yummly recipe ingredients,Kaggle competition dataset,https://www.kaggle.com/c/whats-cooking-kernels-only/data,Kaggle competition terms; source scraping risk,20 cuisine labels,Static competition data,JSON,Medium,C,3,Experimental/high-risk,Good for prototype classification/similarity; not ideal for final core.
Recipe/ingredient,Open Food Facts,Open Food Facts Association,https://openfoodfacts.github.io/openfoodfacts-server/api/,Open Database License; attribution/share-alike,Product-level; countries/sales/manufacturing locations; ingredient labels,Active database,API/CSV dumps,Easy,B,4,Useful secondary,"Open, global, huge; product labels not cuisine/recipes."
Food/nutrition,USDA FoodData Central,USDA Agricultural Research Service / NAL,https://fdc.nal.usda.gov/,Public domain / CC0 noted by USDA,Food-item level; mostly U.S. focus,Active; current releases,API/CSV/JSON downloads,Easy,A,2,Useful secondary,Excellent nutrition/composition support; weak global cuisine geography.
Recipe/ingredient,Wikidata dishes and ingredients,Wikimedia Foundation/community,https://www.wikidata.org/,CC0,Entity-level; country/culture properties inconsistent,Active,SPARQL/RDF/JSON,Medium,B-,3,Useful secondary,"Can help map dish-to-country and ingredient aliases, but noisy."
Food chemistry,FlavorDB,CosyLab IIIT Delhi,https://cosylab.iiitd.edu.in/flavordb/,Open web resource; bulk/license needs verification,Ingredient-level; no geography,Static/updated database,Web/API-like interface; article,Easy-medium,A-,5,Core conditional,"25,595 flavor molecules and 936 natural ingredients in public page snippet."
Food chemistry,FlavorDB article,Nucleic Acids Research,https://academic.oup.com/nar/article/46/D1/D1210/4559748,Open-access article,Ingredient/compound level,Published 2018,Article and database links,Easy,A,5,Core reliable for concept,Strong citation for flavor-molecule methodology; bulk data still needs access check.
Food chemistry,FlavorDB2,Journal of Food Science / Wiley,https://ift.onlinelibrary.wiley.com/doi/10.1111/1750-3841.17298,Article access may vary; database access to verify,Ingredient/compound level,2024 update,Article/database,Medium,B+,4,Useful secondary,Potential update to FlavorDB; access should be checked in Run 2.
Food chemistry,FooDB,FooDB / University of Alberta ecosystem,https://foodb.ca/,Freely accessible; terms/bulk download to verify,Food compound database; no native geography,Active web database,Web; possible downloads,Medium,A-,4,Useful secondary,Very rich chemistry/constituent database; may be too broad and matching-heavy.
Food chemistry,FSBI-DB,Food Systems Biology Database,https://fsbi-db.de/,Free web access; license to verify,Flavor-active molecules/foods/receptors,Active database,Web database,Medium,B+,3,Useful secondary,Useful alternative or validation source for flavor-active molecules.
Food chemistry,PubChem,NIH / NCBI,https://pubchem.ncbi.nlm.nih.gov/,Public domain/open data,Compound-level; no food geography,Active,REST/API/CSV,Easy,A,2,Useful secondary,"Good for chemical identifiers and properties, not food occurrence by itself."
